２５年前,1288,1288,3978,名詞,固有名詞,一般,*,*,*,25年前,ニジュウゴネンマエ,ニジュウゴネンマエ
二十五年前,1288,1288,1478,名詞,固有名詞,一般,*,*,*,25年前,ニジュウゴネンマエ,ニジューゴネンマエ
２６年前,1288,1288,4453,名詞,固有名詞,一般,*,*,*,26年前,ニジュウロクネンマエ,ニジュウロクネンマエ
二十六年前,1288,1288,323,名詞,固有名詞,一般,*,*,*,26年前,ニジュウロクネンマエ,ニジューロクネンマエ
２７年前,1288,1288,5119,名詞,固有名詞,一般,*,*,*,27年前,ニジュウナナネンマエ,ニジュウナナネンマエ
二十七年前,1288,1288,838,名詞,固有名詞,一般,*,*,*,27年前,ニジュウナナネンマエ,ニジューナナネンマエ
２８年前,1288,1288,4922,名詞,固有名詞,一般,*,*,*,28年前,ニジュウハチネンマエ,ニジュウハチネンマエ
二十八年前,1288,1288,1463,名詞,固有名詞,一般,*,*,*,28年前,ニジュウハチネンマエ,ニジューハチネンマエ
２９年前,1288,1288,6134,名詞,固有名詞,一般,*,*,*,29年前,ニジュウキュウネンマエ,ニジュウキューネンマエ
二十九年前,1288,1288,1951,名詞,固有名詞,一般,*,*,*,29年前,ニジュウキュウネンマエ,ニジューキューネンマエ
３０年前,1288,1288,4229,名詞,固有名詞,一般,*,*,*,30年前,サンジュウネンマエ,サンジュウネンマエ
三十年前,1288,1288,1723,名詞,固有名詞,一般,*,*,*,30年前,サンジュウネンマエ,サンジューネンマエ
３１年前,1288,1288,3524,名詞,固有名詞,一般,*,*,*,31年前,サンジュウイチネンマエ,サンジュウイチネンマエ
三十一年前,1288,1288,1147,名詞,固有名詞,一般,*,*,*,31年前,サンジュウイチネンマエ,サンジューイチネンマエ
３２年前,1288,1288,4772,名詞,固有名詞,一般,*,*,*,32年前,サンジュウニネンマエ,サンジュウニネンマエ
三十二年前,1288,1288,581,名詞,固有名詞,一般,*,*,*,32年前,サンジュウニネンマエ,サンジューニネンマエ
３３年前,1288,1288,4441,名詞,固有名詞,一般,*,*,*,33年前,サンジュウサンネンマエ,サンジュウサンネンマエ
三十三年前,1288,1288,394,名詞,固有名詞,一般,*,*,*,33年前,サンジュウサンネンマエ,サンジューサンネンマエ
３４年前,1288,1288,4737,名詞,固有名詞,一般,*,*,*,34年前,サンジュウヨンネンマエ,サンジュウヨンネンマエ
三十四年前,1288,1288,1255,名詞,固有名詞,一般,*,*,*,34年前,サンジュウヨンネンマエ,サンジューヨンネンマエ
３５年前,1288,1288,3647,名詞,固有名詞,一般,*,*,*,35年前,サンジュウゴネンマエ,サンジュウゴネンマエ
三十五年前,1288,1288,1291,名詞,固有名詞,一般,*,*,*,35年前,サンジュウゴネンマエ,サンジューゴネンマエ
３６年前,1288,1288,4122,名詞,固有名詞,一般,*,*,*,36年前,サンジュウロクネンマエ,サンジュウロクネンマエ
三十六年前,1288,1288,136,名詞,固有名詞,一般,*,*,*,36年前,サンジュウロクネンマエ,サンジューロクネンマエ
３７年前,1288,1288,4789,名詞,固有名詞,一般,*,*,*,37年前,サンジュウナナネンマエ,サンジュウナナネンマエ
三十七年前,1288,1288,650,名詞,固有名詞,一般,*,*,*,37年前,サンジュウナナネンマエ,サンジューナナネンマエ
３８年前,1288,1288,4592,名詞,固有名詞,一般,*,*,*,38年前,サンジュウハチネンマエ,サンジュウハチネンマエ
三十八年前,1288,1288,1276,名詞,固有名詞,一般,*,*,*,38年前,サンジュウハチネンマエ,サンジューハチネンマエ
３９年前,1288,1288,5803,名詞,固有名詞,一般,*,*,*,39年前,サンジュウキュウネンマエ,サンジュウキューネンマエ
三十九年前,1288,1288,1764,名詞,固有名詞,一般,*,*,*,39年前,サンジュウキュウネンマエ,サンジューキューネンマエ
４０年前,1288,1288,4525,名詞,固有名詞,一般,*,*,*,40年前,ヨンジュウネンマエ,ヨンジュウネンマエ
四十年前,1288,1288,2583,名詞,固有名詞,一般,*,*,*,40年前,ヨンジュウネンマエ,ヨンジューネンマエ
４１年前,1288,1288,3820,名詞,固有名詞,一般,*,*,*,41年前,ヨンジュウイチネンマエ,ヨンジュウイチネンマエ
四十一年前,1288,1288,2008,名詞,固有名詞,一般,*,*,*,41年前,ヨンジュウイチネンマエ,ヨンジューイチネンマエ
